injected_p,seed,harm_content_density,S
0.0,0,0.007,0.5226728702168923
0.0,1,0.01,0.5232728777462224
0.0,2,0.011,0.5234728812553479
0.0,3,0.006,0.5224728845008417
0.0,4,0.01,0.5232728882639112
0.025,0,0.008,0.5228728917360402
0.025,1,0.013,0.5238728956268376
0.025,2,0.017,0.5246728996932519
0.025,3,0.016,0.5244729032023783
0.025,4,0.018,0.525072907357627
0.05,0,0.02,0.5252729114656172
0.05,1,0.03,0.5272729152304446
0.05,2,0.024,0.526272919662298
0.05,3,0.02,0.5252729237496226
0.05,4,0.021,0.5254729280686996
0.1,0,0.036,0.5284729317588526
0.1,1,0.037,0.5286729363835034
0.1,2,0.041,0.5294729404110032
0.1,3,0.028,0.5268729448506945
0.1,4,0.039,0.5292729486251005
0.2,0,0.061,0.5336729525032299
0.2,1,0.065,0.5342729567117865
0.2,2,0.068,0.5348729604454574
0.2,3,0.064,0.534072964741698
0.2,4,0.067,0.534672968298368
0.4,0,0.127,0.5466729723595795
0.4,1,0.123,0.5458729759012513
0.4,2,0.123,0.5458729798768311
0.4,3,0.126,0.5464729841534306
0.4,4,0.14,0.5492729879731055
