injected_p,seed,model,proxy_noise,auc,bal_acc,ece
0.0,0,logreg,0.1951220173271737,0.6110186048884145,0.5064133107733261,0.0149532178639354
0.0,0,xgboost,0.1951220173271737,0.6470051511313548,0.5088144963995067,0.013550640495121481
0.0,1,logreg,0.1961267008706653,0.6406438525340965,0.5044543306738428,0.007319905909654048
0.0,1,xgboost,0.1961267008706653,0.6631851662339467,0.5036931225955616,0.011743064990639686
0.0,2,logreg,0.19575229252398763,0.6373899300067736,0.5042379097486357,0.007068793528926362
0.0,2,xgboost,0.19575229252398763,0.6644603570085557,0.5065262030740711,0.008459774154424666
0.0,3,logreg,0.1959200475059093,0.6301019510399338,0.5046894789516161,0.009999334417582497
0.0,3,xgboost,0.1959200475059093,0.6441211581524255,0.50172383182171,0.009848229098320003
0.0,4,logreg,0.19630710049138167,0.6308370361085333,0.5056780279949181,0.012185338773954262
0.0,4,xgboost,0.19630710049138167,0.6508361740937675,0.5054522433934279,0.01391982204318047
0.05,0,logreg,0.2536859930275581,0.6040615921412724,0.5036734482449102,0.03878096313392373
0.05,0,xgboost,0.2536859930275581,0.6416673817171412,0.5051989771285339,0.03833379811048509
0.05,1,logreg,0.2568164854070637,0.6440503376478987,0.5044543306738428,0.04033145739329622
0.05,1,xgboost,0.2568164854070637,0.6565046572668525,0.5042284950821536,0.04024439742863178
0.05,2,logreg,0.25044996638182204,0.6254743552584284,0.503700929908314,0.03544050399608555
0.05,2,xgboost,0.25044996638182204,0.6331793042117329,0.5024865962635219,0.03354220116883517
0.05,3,logreg,0.2562285169727695,0.6271908718172181,0.5055651356941729,0.041206204623689055
0.05,3,xgboost,0.2562285169727695,0.6502493713816634,0.5029106838030984,0.04019599243998528
0.05,4,logreg,0.2541196352977847,0.633044268412418,0.5068648799763065,0.03976252389471353
0.05,4,xgboost,0.2541196352977847,0.6487028852583216,0.5090402810009969,0.03910590523481368
0.1,0,logreg,0.3059953495165234,0.6062727786413302,0.5047748895889573,0.07788001738115426
0.1,0,xgboost,0.3059953495165234,0.6305863400711519,0.504323320385977,0.0770434270322323
0.1,1,logreg,0.31083098987269175,0.6388442745150062,0.5039189581872509,0.08115497463702712
0.1,1,xgboost,0.31083098987269175,0.6400374129032664,0.506625037112842,0.08120223373174669
0.1,2,logreg,0.30693828895489694,0.6202552117294112,0.503700929908314,0.07903149462373335
0.1,2,xgboost,0.30693828895489694,0.6224288333658237,0.5057634386322594,0.07584143231511117
0.1,3,logreg,0.3088147212881476,0.6256321276857395,0.5054522433934279,0.08089554159253326
0.1,3,xgboost,0.3088147212881476,0.6241214270377653,0.5075147521173732,0.08036272744238378
0.1,4,logreg,0.3062899779371786,0.6277080806766737,0.5070906645777966,0.07805923587352717
0.1,4,xgboost,0.3062899779371786,0.6345379660168472,0.5064987214106673,0.07768494207262992
0.2,0,logreg,0.39028289428042306,0.5862819444680598,0.5023737039627768,0.15396952243958917
0.2,0,xgboost,0.39028289428042306,0.612486007088292,0.5055681013413029,0.1540311649113894
0.2,1,logreg,0.39789463741465325,0.6278876949608657,0.5045672484696875,0.16282735240688168
0.2,1,xgboost,0.39789463741465325,0.6212506159152502,0.50535372486592,0.1629965277194977
0.2,2,logreg,0.3914086458948919,0.5950503744821486,0.5042379097486357,0.15530175611700586
0.2,2,xgboost,0.3914086458948919,0.5990642790175721,0.5058213676061969,0.1544288674980402
0.2,3,logreg,0.3915333747493911,0.6113171466994918,0.5038138222090591,0.15522722082470236
0.2,3,xgboost,0.3915333747493911,0.6149326659704646,0.5066970243487539,0.15635096365064383
0.2,4,logreg,0.39480582179429813,0.6123029278054726,0.5086161934614203,0.15880366796024695
0.2,4,xgboost,0.39480582179429813,0.5929767940089183,0.5150020225713425,0.1580061951711774
0.4,0,logreg,0.4867718788095938,0.5295771896657874,0.51035188787165,0.30578660340380165
0.4,0,xgboost,0.4867718788095938,0.5487451556154133,0.5151995346701943,0.30726613124608987
0.4,1,logreg,0.49050007429072084,0.5870138217699193,0.5127415493269152,0.31683580576582093
0.4,1,xgboost,0.49050007429072084,0.557248138040821,0.5130195008243789,0.3172936723053455
0.4,2,logreg,0.489570521698131,0.53789049170034,0.507868257255258,0.3118314429749676
0.4,2,xgboost,0.489570521698131,0.5203540270917797,0.5104001290649631,0.31111807790100576
0.4,3,logreg,0.48806208463341394,0.5309117308742451,0.5095096440867566,0.31100081285631864
0.4,3,xgboost,0.48806208463341394,0.5327688191069923,0.5240474440273646,0.31087666288614274
0.4,4,logreg,0.48824006095896444,0.5462963219253456,0.5212132739202178,0.31149115056604426
0.4,4,xgboost,0.48824006095896444,0.5554854784122637,0.5226682204021497,0.3114116349488497
